age,tenure_months,monthly_spend,support_tickets,late_payments,contract_type,has_autopay,uses_mobile_app,satisfaction_score,churn
63,49,78.06,2,1,month-to-month,1,0,6.2,1
63,19,98.81,1,0,two-year,0,1,6.9,0
56,18,96.89,0,0,one-year,1,0,9.0,0
45,30,56.75,2,1,two-year,1,1,7.7,0
58,62,73.21,0,2,month-to-month,0,1,5.0,0
34,38,51.28,3,1,month-to-month,1,0,6.2,0
63,26,65.51,1,1,one-year,1,1,8.7,0
50,57,51.81,1,0,one-year,1,0,4.9,0
44,62,100.64,1,0,month-to-month,1,0,7.0,1
47,65,73.0,1,0,two-year,0,0,7.1,0
50,22,60.2,2,0,one-year,0,0,6.4,1
20,52,91.26,1,0,one-year,0,1,10.0,0
26,43,17.25,1,0,month-to-month,0,1,6.4,1
32,33,20.69,1,0,one-year,1,0,7.9,0
24,29,82.51,1,0,month-to-month,1,1,5.7,0
43,9,66.33,1,2,two-year,1,0,8.0,1
56,20,70.51,2,0,month-to-month,1,1,8.7,0
55,40,35.82,3,1,month-to-month,0,1,6.0,0
45,64,64.49,1,0,month-to-month,1,1,7.0,0
67,63,109.08,2,1,one-year,1,0,5.5,0
50,14,83.13,1,0,two-year,1,0,5.0,0
22,49,68.73,2,1,two-year,0,0,9.0,0
62,7,55.34,1,1,one-year,1,1,6.1,0
51,49,56.32,0,0,two-year,1,1,2.8,0
54,25,18.16,2,0,one-year,0,1,10.0,0
50,33,70.67,0,0,month-to-month,1,1,5.7,1
50,52,83.6,0,0,one-year,0,1,6.7,0
23,31,30.34,1,0,month-to-month,1,1,10.0,0
50,59,50.45,2,0,month-to-month,0,1,6.8,1
64,39,39.54,1,1,month-to-month,0,1,6.8,1
35,72,43.76,1,0,month-to-month,1,1,4.9,1
52,46,66.18,1,1,two-year,0,0,4.2,0
19,22,19.14,2,1,two-year,1,1,6.8,0
38,56,78.51,2,0,month-to-month,0,1,7.8,0
43,30,81.58,0,1,one-year,0,0,7.6,0
74,39,59.48,1,0,month-to-month,0,0,6.2,1
30,10,15.0,0,1,month-to-month,0,0,7.1,0
34,9,43.08,1,1,month-to-month,0,1,3.8,1
41,42,92.12,2,1,month-to-month,1,1,7.9,0
75,14,15.0,0,0,month-to-month,1,0,7.4,0
67,72,57.35,1,1,month-to-month,0,1,10.0,1
20,62,39.04,1,0,month-to-month,0,1,7.1,0
31,51,82.7,1,0,month-to-month,0,0,5.4,0
65,53,50.15,0,0,two-year,1,1,7.0,0
21,43,73.89,1,0,month-to-month,1,0,6.5,1
67,5,77.44,0,0,month-to-month,0,0,7.9,0
34,29,105.4,2,0,month-to-month,0,1,7.1,1
71,36,60.54,4,0,month-to-month,1,0,4.8,1
35,66,73.27,3,1,month-to-month,1,1,4.2,0
43,16,32.33,1,0,month-to-month,1,0,7.6,0
56,36,91.19,2,0,one-year,1,0,9.6,0
25,25,48.27,2,0,one-year,0,0,7.2,1
50,10,52.66,2,2,one-year,1,1,8.6,0
47,8,64.51,1,0,one-year,1,0,8.9,0
63,27,30.62,2,0,month-to-month,1,0,7.6,0
75,6,70.03,0,0,month-to-month,1,1,5.6,1
56,5,86.28,0,0,month-to-month,0,1,7.5,1
41,26,71.44,0,0,month-to-month,1,1,9.3,0
41,15,30.04,1,0,month-to-month,1,0,8.1,0
42,40,62.28,0,0,month-to-month,1,1,8.4,0
65,2,81.32,2,0,one-year,0,1,6.3,1
36,22,23.68,3,0,month-to-month,0,0,6.7,1
27,33,41.36,4,0,month-to-month,1,0,6.9,0
37,70,84.28,1,0,one-year,0,0,7.0,0
19,46,70.94,3,0,month-to-month,1,1,9.2,0
24,64,74.06,1,0,one-year,1,1,2.9,1
23,25,105.91,0,0,two-year,1,1,7.2,0
62,33,75.31,1,0,two-year,0,1,7.0,0
59,31,79.47,0,2,month-to-month,0,0,4.6,1
58,64,124.64,0,0,month-to-month,1,1,8.3,0
44,70,60.3,0,1,one-year,1,1,5.8,1
59,70,47.45,2,0,one-year,1,1,6.5,0
27,55,74.41,0,0,one-year,1,1,10.0,0
70,37,74.66,1,0,month-to-month,1,0,8.9,0
47,39,53.41,1,0,month-to-month,1,0,8.1,0
72,71,42.29,1,0,month-to-month,0,1,7.8,0
26,21,115.82,1,0,month-to-month,1,1,6.8,1
46,25,72.19,4,0,month-to-month,0,1,10.0,1
58,65,48.89,2,0,two-year,1,1,8.5,0
46,28,85.15,1,0,month-to-month,1,0,5.8,0
43,17,62.6,3,1,one-year,1,1,4.6,1
27,41,59.44,0,0,two-year,0,1,8.1,0
40,24,77.37,1,0,month-to-month,1,0,7.0,0
31,65,36.58,2,1,month-to-month,1,1,4.5,0
35,66,72.76,0,0,one-year,0,1,7.9,0
57,23,107.09,0,0,month-to-month,0,1,6.6,1
54,39,75.26,1,1,month-to-month,0,1,8.1,1
53,71,56.72,0,1,one-year,1,1,7.9,0
38,54,53.84,1,0,one-year,1,0,6.0,0
73,16,55.97,1,0,one-year,0,0,8.2,0
23,43,59.41,1,0,two-year,0,1,6.2,0
37,45,56.69,3,1,month-to-month,0,1,6.3,1
24,48,85.16,2,0,one-year,1,1,6.1,0
37,2,26.87,1,1,one-year,1,1,9.1,0
73,22,83.96,0,0,one-year,0,1,6.6,0
39,62,56.65,1,0,one-year,0,1,9.6,0
70,18,73.29,1,2,one-year,1,1,10.0,0
46,22,40.21,1,3,two-year,0,0,5.8,1
58,24,94.23,1,0,month-to-month,0,0,1.8,1
44,13,92.4,0,1,one-year,1,1,9.0,1
33,12,86.11,0,1,month-to-month,1,0,6.5,0
62,25,31.68,0,2,one-year,0,1,5.5,0
74,63,83.24,0,1,one-year,1,0,6.0,0
33,1,73.91,0,0,one-year,1,1,6.4,0
63,21,29.68,1,0,month-to-month,0,1,9.4,0
33,5,64.47,0,1,month-to-month,1,0,7.4,0
59,41,73.02,0,0,month-to-month,0,1,9.4,0
63,19,77.23,0,0,month-to-month,1,1,8.0,0
44,58,68.9,1,0,month-to-month,1,1,6.5,0
60,43,71.41,1,0,two-year,0,1,6.4,0
33,57,97.42,0,1,month-to-month,0,1,8.1,0
22,46,91.97,1,1,two-year,1,1,8.6,0
23,32,15.0,0,1,month-to-month,0,1,8.9,0
43,62,58.02,0,0,one-year,0,1,6.6,0
70,35,61.38,4,0,one-year,0,1,7.4,0
25,69,26.45,1,0,one-year,0,1,8.2,0
44,72,67.07,1,0,one-year,1,1,6.4,0
58,43,92.47,2,1,one-year,1,0,5.1,0
29,49,41.1,2,0,two-year,1,1,5.6,0
59,19,72.4,1,0,one-year,1,1,6.7,0
35,59,44.85,3,1,month-to-month,0,1,8.3,0
64,49,50.22,2,0,month-to-month,1,1,9.4,0
51,65,97.5,0,0,one-year,1,1,4.7,0
49,20,53.06,0,0,month-to-month,1,1,6.0,1
28,57,75.17,1,0,month-to-month,1,0,6.5,0
44,34,23.83,2,0,one-year,1,1,8.5,0
67,14,105.97,0,1,month-to-month,0,1,6.1,1
19,13,78.26,1,0,one-year,0,1,6.3,0
61,41,60.99,2,0,one-year,1,1,4.6,0
46,24,77.66,1,1,one-year,1,0,8.0,1
59,8,33.98,1,0,one-year,0,0,6.8,0
56,31,91.02,3,0,two-year,1,1,5.9,0
43,48,57.87,1,0,one-year,1,0,6.6,0
35,23,60.51,0,1,two-year,1,1,9.1,0
54,69,54.18,0,0,month-to-month,1,1,5.3,0
26,57,52.23,1,0,one-year,0,0,5.6,0
51,37,80.28,1,0,one-year,0,0,9.4,0
23,68,70.63,0,1,month-to-month,0,1,7.2,0
55,32,79.34,1,0,month-to-month,0,0,8.3,0
54,11,64.81,3,1,one-year,1,1,7.8,0
22,3,76.29,1,0,month-to-month,1,1,7.0,0
61,68,55.79,2,0,two-year,1,1,6.5,0
42,70,114.05,0,0,month-to-month,1,1,8.6,0
63,54,30.51,0,1,month-to-month,1,1,9.2,0
20,8,92.74,0,1,one-year,1,1,9.1,0
28,22,95.09,3,0,month-to-month,1,1,5.0,1
46,3,46.25,1,0,month-to-month,1,0,9.4,0
28,4,114.04,1,0,one-year,0,1,6.5,1
37,18,86.9,0,1,month-to-month,0,0,5.7,1
56,42,86.37,1,0,month-to-month,0,0,6.8,1
26,5,65.62,2,0,one-year,1,0,8.6,0
57,71,60.22,3,1,one-year,1,0,8.1,0
23,33,60.39,3,1,one-year,0,0,6.6,1
28,19,73.59,0,2,month-to-month,0,1,8.6,1
52,38,95.83,0,1,month-to-month,0,0,7.4,0
64,57,68.99,1,1,two-year,1,0,6.1,0
27,23,44.95,0,0,one-year,1,1,5.8,0
35,4,83.14,0,0,month-to-month,0,1,7.8,0
71,4,85.27,1,1,one-year,0,0,7.0,0
75,62,79.4,3,0,month-to-month,1,1,4.6,1
51,9,81.4,2,0,one-year,1,1,8.6,0
43,46,59.04,1,3,one-year,1,1,6.2,1
38,28,44.56,1,2,two-year,1,1,10.0,0
53,56,45.9,2,0,two-year,0,1,4.6,1
52,5,29.02,1,1,month-to-month,1,1,6.8,0
35,65,70.21,2,0,one-year,1,0,5.8,0
19,51,63.16,0,1,month-to-month,1,1,5.3,1
26,33,55.32,1,0,one-year,0,1,6.2,1
73,15,15.0,3,1,one-year,1,0,10.0,0
42,71,37.56,2,1,month-to-month,1,0,7.4,0
45,22,89.66,1,1,month-to-month,0,1,5.7,1
45,36,50.38,1,0,month-to-month,0,1,3.8,0
63,29,72.93,1,0,month-to-month,0,1,4.0,0
21,17,34.4,1,1,month-to-month,0,0,6.1,1
22,30,96.65,0,0,two-year,1,1,6.0,0
33,11,61.83,2,0,month-to-month,0,1,6.7,1
46,1,71.38,1,1,one-year,0,0,3.0,1
56,21,116.17,0,0,one-year,1,0,6.9,0
46,9,98.36,0,1,one-year,0,1,8.9,1
43,30,58.26,3,0,month-to-month,1,0,10.0,0
72,63,51.95,0,0,two-year,1,0,3.7,0
27,12,57.84,1,0,one-year,1,0,5.7,0
51,1,76.22,3,0,one-year,1,0,5.6,1
49,8,62.69,2,1,two-year,0,0,7.4,0
45,37,56.3,1,1,one-year,1,1,4.9,0
64,20,97.28,1,0,month-to-month,0,1,10.0,0
33,36,62.49,3,0,two-year,1,0,7.2,0
73,3,115.59,1,0,month-to-month,1,1,6.9,1
37,24,67.0,0,1,one-year,1,1,10.0,1
49,30,104.28,0,0,month-to-month,1,1,7.1,0
48,32,72.86,1,0,month-to-month,0,0,7.8,1
67,40,86.19,0,1,month-to-month,0,1,5.7,1
43,57,49.06,2,1,month-to-month,1,1,4.6,0
34,34,46.22,1,0,two-year,0,1,6.0,1
19,61,75.11,2,1,month-to-month,0,1,10.0,0
39,39,86.75,5,0,one-year,0,0,8.2,0
65,19,65.89,2,1,month-to-month,1,0,7.6,1
18,17,36.7,0,0,two-year,1,1,5.3,0
69,24,35.07,0,0,month-to-month,0,1,8.7,0
49,44,33.6,3,0,month-to-month,1,0,4.7,1
26,18,26.11,0,1,month-to-month,1,1,4.3,0
35,66,67.41,1,1,one-year,0,0,6.1,0
50,35,89.75,5,3,two-year,1,1,10.0,1
36,63,64.7,0,0,two-year,0,1,10.0,0
24,50,15.27,0,0,month-to-month,1,1,6.3,0
56,25,60.8,1,1,month-to-month,0,1,5.9,0
56,17,61.42,0,1,month-to-month,1,1,4.1,1
24,54,111.11,1,1,month-to-month,1,0,7.2,0
34,24,32.94,4,1,one-year,0,1,7.4,1
32,18,56.41,1,0,month-to-month,1,1,8.5,1
56,67,102.53,1,2,one-year,0,0,8.7,0
60,35,74.9,0,1,two-year,0,0,6.7,0
60,4,77.39,2,1,month-to-month,1,1,8.1,0
72,36,67.52,1,0,month-to-month,1,1,5.8,0
62,34,72.26,1,0,month-to-month,0,1,8.1,0
36,63,82.11,0,0,month-to-month,0,1,6.2,0
24,52,47.19,0,0,month-to-month,0,0,7.9,0
53,14,84.32,1,1,one-year,1,1,7.8,0
71,11,34.79,1,1,month-to-month,0,1,7.2,0
74,44,72.22,0,0,one-year,1,0,8.5,0
31,4,68.93,1,1,two-year,0,1,4.3,0
31,23,51.44,2,0,two-year,1,1,5.2,0
20,10,64.5,1,1,one-year,1,1,6.6,0
26,2,51.3,0,0,month-to-month,0,0,4.5,1
50,67,41.42,3,1,month-to-month,0,0,6.4,0
49,7,57.22,1,2,month-to-month,1,1,6.4,0
39,1,40.71,1,0,two-year,0,0,9.5,0
35,68,72.1,1,0,two-year,1,1,7.4,0
66,14,39.7,3,0,month-to-month,1,1,9.0,0
44,59,80.66,1,0,month-to-month,1,1,7.6,0
64,3,39.01,0,1,month-to-month,1,1,6.1,1
73,12,52.54,1,1,month-to-month,1,1,7.3,0
36,8,51.26,0,0,two-year,1,0,8.4,0
29,51,94.15,0,0,month-to-month,1,1,9.2,0
73,45,72.27,1,0,month-to-month,0,0,6.9,0
54,35,60.34,0,1,month-to-month,0,0,4.1,0
34,18,75.97,1,0,month-to-month,0,1,4.0,1
54,7,18.64,2,0,month-to-month,1,1,6.5,0
47,41,64.05,2,0,two-year,0,1,2.9,0
70,17,108.95,0,3,month-to-month,1,1,10.0,1
32,43,67.91,0,0,one-year,0,1,8.2,0
75,50,66.49,0,1,month-to-month,1,0,6.0,0
72,62,77.06,3,1,month-to-month,1,0,5.1,0
28,36,84.7,2,0,month-to-month,1,1,9.0,0
27,1,21.06,2,1,month-to-month,0,1,5.1,0
48,21,27.99,2,1,month-to-month,0,1,5.3,1
20,62,69.63,1,0,month-to-month,0,0,5.7,0
35,39,49.27,0,0,one-year,0,1,7.3,0
43,45,93.86,0,0,one-year,0,1,8.2,0
74,33,58.07,2,0,two-year,1,1,9.2,0
75,12,22.44,0,0,month-to-month,0,1,9.0,1
26,65,37.1,0,0,one-year,1,1,7.1,0
69,56,15.0,0,1,one-year,1,0,8.9,0
23,72,59.85,2,0,month-to-month,1,1,5.9,0
61,62,60.86,1,0,month-to-month,0,1,3.8,0
67,21,55.66,0,1,month-to-month,0,1,5.9,1
69,19,88.74,0,0,one-year,1,1,5.6,0
30,18,91.37,6,0,month-to-month,1,0,6.0,1
69,67,61.25,0,0,month-to-month,1,1,5.4,1
24,41,18.04,0,0,two-year,0,0,6.3,0
48,33,78.58,0,0,month-to-month,0,1,8.2,0
45,70,77.22,0,1,two-year,1,0,10.0,0
36,44,71.81,1,0,one-year,1,0,4.0,1
19,66,86.59,2,0,one-year,0,1,4.8,0
62,71,39.37,1,0,one-year,1,0,5.7,0
37,6,109.19,0,0,month-to-month,1,1,8.5,0
56,27,43.89,0,0,one-year,1,0,6.7,0
41,53,81.48,1,0,one-year,1,1,5.8,0
39,59,27.88,3,1,one-year,1,1,8.4,0
69,11,44.53,2,1,month-to-month,0,1,8.8,0
23,23,98.36,2,0,month-to-month,1,0,7.1,1
60,40,59.26,0,2,month-to-month,1,0,5.6,1
61,58,83.48,1,1,month-to-month,0,1,7.6,0
40,9,70.21,0,0,one-year,0,0,6.7,1
33,44,62.69,0,1,one-year,1,0,6.7,0
18,22,95.0,1,0,one-year,1,1,6.2,0
72,16,59.79,1,0,one-year,0,1,8.8,0
72,38,25.82,3,0,month-to-month,1,1,7.5,1
31,30,47.33,0,0,month-to-month,0,1,9.0,0
19,46,77.13,1,1,month-to-month,1,1,9.5,0
25,23,73.7,4,0,month-to-month,1,0,7.9,1
21,60,30.52,0,0,month-to-month,1,1,6.2,0
66,6,49.06,1,0,month-to-month,0,0,9.0,1
69,63,52.2,1,0,month-to-month,1,1,7.9,0
26,3,56.96,1,1,one-year,1,1,10.0,0
61,53,34.73,0,1,month-to-month,1,1,7.7,0
28,25,51.18,0,0,month-to-month,0,1,8.4,0
39,28,48.97,1,0,month-to-month,1,1,7.6,0
52,2,81.97,1,0,one-year,0,1,6.9,0
59,51,82.8,0,0,one-year,0,1,6.6,0
68,12,61.79,0,1,month-to-month,1,0,7.6,0
20,48,56.38,2,0,month-to-month,0,1,8.0,0
29,53,68.08,3,0,two-year,0,1,9.2,0
34,61,47.04,2,1,one-year,1,1,7.7,0
35,51,39.77,1,1,one-year,1,1,6.3,0
75,22,44.32,0,0,month-to-month,1,0,6.5,0
63,54,51.03,1,0,one-year,1,1,4.7,0
36,60,39.4,0,1,two-year,1,0,10.0,1
74,23,68.57,0,1,month-to-month,0,0,6.1,0
46,9,81.05,0,0,one-year,0,1,8.8,1
47,65,30.08,2,1,month-to-month,1,1,7.6,0
43,11,65.55,0,0,one-year,1,1,7.6,0
26,43,60.16,1,0,month-to-month,1,0,6.9,0
72,18,72.51,2,1,month-to-month,1,1,5.7,1
18,10,64.72,3,0,two-year,1,1,5.4,0
28,56,33.02,1,2,two-year,0,1,10.0,0
31,11,37.23,1,1,month-to-month,0,1,7.3,1
34,49,65.65,0,0,two-year,1,1,9.1,0
25,50,87.63,2,0,month-to-month,0,1,9.6,1
19,5,16.29,0,1,month-to-month,1,1,6.4,0
57,13,72.61,0,1,two-year,0,0,7.9,0
74,58,91.17,1,0,month-to-month,1,1,7.2,0
25,37,61.63,3,0,month-to-month,1,1,5.0,1
35,9,77.1,0,0,one-year,0,1,6.8,0
47,72,49.53,0,0,month-to-month,1,0,8.2,0
71,20,62.37,1,1,month-to-month,0,1,6.2,0
58,1,29.34,0,0,month-to-month,1,0,6.5,1
62,67,15.0,1,0,one-year,0,1,6.8,0
51,2,85.74,2,0,month-to-month,0,0,10.0,1
42,40,43.33,2,1,month-to-month,1,1,3.8,1
29,72,54.98,2,0,one-year,1,0,8.0,0
68,42,34.5,1,0,month-to-month,0,1,6.6,0
64,43,33.98,0,0,month-to-month,1,0,5.9,0
19,28,61.18,0,0,one-year,1,0,6.6,1
59,10,48.95,1,2,one-year,0,1,8.3,1
22,42,73.32,2,0,month-to-month,1,1,8.4,0
60,65,74.96,1,0,two-year,0,1,7.4,0
65,7,72.06,1,0,one-year,1,1,9.1,0
25,64,70.25,0,0,month-to-month,0,0,9.4,0
43,30,99.71,2,1,one-year,1,0,8.6,0
25,39,41.51,2,1,one-year,1,1,6.1,0
50,12,63.79,0,1,one-year,1,1,8.0,0
71,45,89.92,0,0,one-year,0,0,8.0,0
22,14,92.82,0,0,one-year,0,1,5.6,0
41,20,33.72,1,1,two-year,0,1,4.3,1
74,52,58.13,1,0,one-year,1,1,3.5,0
35,4,94.88,2,0,one-year,1,1,7.2,1
25,33,76.18,1,0,one-year,0,1,7.6,1
46,43,69.3,2,1,two-year,0,1,5.0,0
47,10,60.21,1,0,two-year,1,1,9.0,0
56,22,56.56,1,0,month-to-month,0,1,7.4,0
36,25,71.34,2,1,month-to-month,1,0,9.5,1
73,48,59.45,1,0,one-year,1,0,7.8,0
48,71,64.06,1,0,month-to-month,0,1,5.2,1
34,61,66.73,0,0,one-year,1,1,7.9,0
73,14,50.08,3,0,one-year,1,1,8.3,0
71,2,76.71,3,0,two-year,1,1,6.1,0
46,4,129.11,3,0,month-to-month,0,1,4.5,1
19,43,25.91,0,0,one-year,1,1,7.3,0
52,12,72.13,0,1,month-to-month,0,0,5.3,1
50,17,48.28,2,1,month-to-month,1,1,9.1,0
26,62,77.7,2,0,month-to-month,1,1,6.4,0
54,63,66.02,0,0,month-to-month,1,1,10.0,0
66,61,81.76,2,1,month-to-month,1,1,3.3,1
24,19,90.86,4,0,one-year,1,1,7.3,1
59,45,69.23,1,0,one-year,1,0,9.7,0
26,44,89.91,1,0,month-to-month,0,1,5.5,0
61,14,15.0,1,0,month-to-month,1,1,6.8,0
42,40,99.99,1,0,month-to-month,0,1,6.4,1
18,38,73.25,0,0,two-year,0,0,5.9,0
74,29,88.71,0,0,two-year,1,1,7.5,0
27,55,38.16,2,1,month-to-month,1,1,4.8,0
52,49,46.72,2,0,month-to-month,1,0,6.9,0
28,39,68.21,1,0,month-to-month,1,1,8.0,0
72,53,64.63,0,0,one-year,1,1,6.7,0
60,55,71.23,1,0,month-to-month,1,0,5.3,0
64,41,88.86,4,2,month-to-month,1,0,9.0,1
43,20,26.17,1,1,month-to-month,1,0,8.4,0
45,55,86.42,0,0,month-to-month,0,1,5.2,0
54,52,65.18,1,0,month-to-month,0,1,4.8,1
63,71,60.52,1,0,month-to-month,1,0,5.4,0
67,11,32.64,1,0,one-year,1,1,8.1,0
19,31,76.07,0,1,month-to-month,0,0,7.6,1
56,67,15.0,0,1,month-to-month,1,1,8.5,0
24,38,79.26,2,1,one-year,1,0,6.5,0
34,68,32.17,2,1,month-to-month,0,1,5.4,1
66,1,66.18,3,0,one-year,1,1,8.8,0
32,3,62.38,0,0,two-year,1,1,6.1,0
64,58,90.73,4,1,month-to-month,1,1,7.4,1
44,26,61.07,2,0,two-year,0,1,4.3,0
31,38,49.73,0,1,one-year,0,0,6.1,0
37,31,53.85,0,1,one-year,0,1,8.9,0
48,30,93.0,3,0,month-to-month,1,1,5.8,1
62,68,76.8,1,0,month-to-month,1,1,8.6,0
53,7,56.52,1,0,month-to-month,0,0,2.9,1
72,56,59.8,1,0,two-year,0,1,6.1,0
68,65,30.52,1,0,one-year,0,1,6.8,0
61,48,73.55,4,0,month-to-month,0,0,10.0,0
52,29,26.28,3,2,month-to-month,1,1,5.0,1
34,12,81.54,3,0,month-to-month,0,1,8.3,1
41,50,67.83,1,0,month-to-month,0,0,9.0,0
24,34,117.51,0,2,one-year,0,1,5.8,1
39,11,40.8,2,0,month-to-month,0,0,6.4,1
71,26,62.74,3,2,one-year,1,0,7.4,1
42,70,104.56,2,1,one-year,0,1,4.4,0
24,20,91.21,0,0,one-year,1,1,6.3,0
55,13,49.68,2,1,one-year,1,1,9.4,0
73,50,69.93,2,0,month-to-month,0,1,8.0,0
68,15,65.04,0,2,one-year,0,1,6.8,0
33,67,71.2,6,0,one-year,0,1,7.3,1
44,62,49.63,0,1,month-to-month,1,1,8.1,0
48,71,63.03,2,2,month-to-month,1,0,8.5,0
32,66,29.84,1,0,month-to-month,1,1,6.1,1
33,18,67.97,1,2,month-to-month,0,0,9.9,1
31,16,74.9,1,0,month-to-month,0,0,9.5,1
75,25,60.0,0,1,month-to-month,0,0,8.3,0
61,34,29.47,2,0,one-year,1,0,5.6,0
66,64,86.75,0,2,month-to-month,1,0,5.3,1
